sample	site	site2
224	SRS014923	United States	United States
225	SRS050752	United States	United States
226	SRS054956	United States	United States
227	SRS016753	United States	United States
228	SRS011452	United States	United States
229	SRS015431	United States	United States
230	SRS019582	United States	United States
231	SRS017191	United States	United States
232	SRS011586	United States	United States
233	SRS146813	United States	United States
234	SRS017701	United States	United States
235	SRS075963	United States	United States
236	SRS019910	United States	United States
237	SRS018351	United States	United States
238	SRS013476	United States	United States
239	SRS017307	United States	United States
240	SRS143070	United States	United States
241	SRS098827	United States	United States
242	SRS147346	United States	United States
243	SRS014235	United States	United States
244	SRS049900	United States	United States
245	SRS016018	United States	United States
246	SRS017821	United States	United States
247	SRS144362	United States	United States
248	SRS016267	United States	United States
249	SRS104311	United States	United States
250	SRS049959	United States	United States
251	SRS147022	United States	United States
252	SRS148721	United States	United States
253	SRS021219	United States	United States
254	SRS043001	United States	United States
255	SRS014979	United States	United States
256	SRS015854	United States	United States
257	SRS011302	United States	United States
258	SRS023583	United States	United States
259	SRS011134	United States	United States
260	SRS020869	United States	United States
261	SRS016095	United States	United States
262	SRS011529	United States	United States
263	SRS015217	United States	United States
264	SRS019267	United States	United States
265	SRS048164	United States	United States
266	SRS014287	United States	United States
267	SRS015369	United States	United States
268	SRS012902	United States	United States
269	SRS014613	United States	United States
270	SRS013521	United States	United States
271	SRS020233	United States	United States
272	SRS011239	United States	United States
273	SRS053356	United States	United States
274	SRS013800	United States	United States
275	SRS012849	United States	United States
276	SRS147088	United States	United States
277	SRS013638	United States	United States
278	SRS019381	United States	United States
279	SRS055533	United States	United States
280	SRS142599	United States	United States
281	SRS098644	United States	United States
282	SRS077194	United States	United States
283	SRS016585	United States	United States
284	SRS104485	United States	United States
285	SRS013951	United States	United States
286	SRS024388	United States	United States
287	SRS011084	United States	United States
288	A1	South Africa	Soweto
289	A2	South Africa	Soweto
290	A4	South Africa	Soweto
291	A6	South Africa	Soweto
292	A9	South Africa	Soweto
293	A10	South Africa	Soweto
294	A11	South Africa	Soweto
295	A12	South Africa	Soweto
296	A13	South Africa	Soweto
297	A15	South Africa	Soweto
298	A16	South Africa	Soweto
299	A17	South Africa	Soweto
300	A18	South Africa	Soweto
301	A19	South Africa	Soweto
302	A21	South Africa	Soweto
303	A22	South Africa	Soweto
304	A24	South Africa	Soweto
305	A25	South Africa	Soweto
306	A26	South Africa	Soweto
307	A27	South Africa	Soweto
308	A28	South Africa	Soweto
309	A29	South Africa	Soweto
310	A30	South Africa	Soweto
311	A31	South Africa	Soweto
312	A32	South Africa	Soweto
313	A33	South Africa	Soweto
314	A34	South Africa	Soweto
315	A35	South Africa	Soweto
316	A36	South Africa	Soweto
317	A37	South Africa	Soweto
318	A38	South Africa	Soweto
319	A39	South Africa	Soweto
320	A41	South Africa	Soweto
321	A42	South Africa	Soweto
322	A43	South Africa	Soweto
323	A44	South Africa	Soweto
324	A45	South Africa	Soweto
325	A46	South Africa	Soweto
326	A47	South Africa	Soweto
327	A48	South Africa	Soweto
328	A49	South Africa	Soweto
329	A50	South Africa	Soweto
330	A51	South Africa	Soweto
331	A52	South Africa	Soweto
332	A53	South Africa	Soweto
333	A54	South Africa	Soweto
334	A55	South Africa	Soweto
335	A56	South Africa	Soweto
336	A57	South Africa	Soweto
337	A58	South Africa	Soweto
338	A59	South Africa	Bushbuckridge
339	A60	South Africa	Bushbuckridge
340	A61	South Africa	Bushbuckridge
341	A62	South Africa	Bushbuckridge
342	A63	South Africa	Bushbuckridge
343	A64	South Africa	Bushbuckridge
344	A66	South Africa	Bushbuckridge
345	A67	South Africa	Bushbuckridge
346	A68	South Africa	Bushbuckridge
347	A69	South Africa	Bushbuckridge
348	A70	South Africa	Bushbuckridge
349	A71	South Africa	Bushbuckridge
350	A72	South Africa	Bushbuckridge
351	A73	South Africa	Bushbuckridge
352	A75	South Africa	Bushbuckridge
353	A77	South Africa	Bushbuckridge
354	A78	South Africa	Bushbuckridge
355	A79	South Africa	Bushbuckridge
356	B1	South Africa	Bushbuckridge
357	B2	South Africa	Bushbuckridge
358	B4	South Africa	Bushbuckridge
359	B5	South Africa	Bushbuckridge
360	B7	South Africa	Bushbuckridge
361	B8	South Africa	Bushbuckridge
362	B9	South Africa	Bushbuckridge
363	B10	South Africa	Bushbuckridge
364	B11	South Africa	Bushbuckridge
365	B12	South Africa	Bushbuckridge
366	B13	South Africa	Bushbuckridge
367	B14	South Africa	Bushbuckridge
368	B15	South Africa	Bushbuckridge
369	B16	South Africa	Bushbuckridge
370	B17	South Africa	Bushbuckridge
371	B18	South Africa	Bushbuckridge
372	B20	South Africa	Bushbuckridge
373	B22	South Africa	Bushbuckridge
374	B23	South Africa	Bushbuckridge
375	B24	South Africa	Bushbuckridge
376	B25	South Africa	Bushbuckridge
377	B26	South Africa	Bushbuckridge
378	B27	South Africa	Bushbuckridge
379	B28	South Africa	Bushbuckridge
380	B29	South Africa	Bushbuckridge
381	B30	South Africa	Bushbuckridge
382	B31	South Africa	Bushbuckridge
383	B32	South Africa	Bushbuckridge
384	B33	South Africa	Bushbuckridge
385	B34	South Africa	Bushbuckridge
386	B36	South Africa	Bushbuckridge
387	B37	South Africa	Bushbuckridge
388	B38	South Africa	Bushbuckridge
389	B39	South Africa	Bushbuckridge
390	B40	South Africa	Bushbuckridge
391	B41	South Africa	Bushbuckridge
392	B42	South Africa	Bushbuckridge
393	B43	South Africa	Bushbuckridge
394	B44	South Africa	Bushbuckridge
395	B45	South Africa	Bushbuckridge
396	B46	South Africa	Bushbuckridge
397	B47	South Africa	Bushbuckridge
398	B48	South Africa	Bushbuckridge
399	B49	South Africa	Bushbuckridge
400	B50	South Africa	Bushbuckridge
401	B52	South Africa	Bushbuckridge
402	B55	South Africa	Bushbuckridge
403	B56	South Africa	Bushbuckridge
404	B57	South Africa	Bushbuckridge
405	B58	South Africa	Bushbuckridge
406	B61	South Africa	Bushbuckridge
407	B62	South Africa	Bushbuckridge
408	B63	South Africa	Bushbuckridge
409	B65	South Africa	Bushbuckridge
410	B66	South Africa	Bushbuckridge
411	B67	South Africa	Bushbuckridge
412	B68	South Africa	Bushbuckridge
413	B69	South Africa	Bushbuckridge
414	B70	South Africa	Bushbuckridge
415	B71	South Africa	Bushbuckridge
416	B72	South Africa	Bushbuckridge
417	B73	South Africa	Bushbuckridge
418	B74	South Africa	Bushbuckridge
419	B75	South Africa	Bushbuckridge
420	B76	South Africa	Bushbuckridge
421	B77	South Africa	Bushbuckridge
422	B78	South Africa	Bushbuckridge
423	B79	South Africa	Soweto
424	C1	South Africa	Bushbuckridge
425	C2	South Africa	Bushbuckridge
426	C3	South Africa	Bushbuckridge
427	C4	South Africa	Bushbuckridge
428	C5	South Africa	Bushbuckridge
429	C6	South Africa	Bushbuckridge
430	C8	South Africa	Bushbuckridge
431	C9	South Africa	Bushbuckridge
432	C10	South Africa	Bushbuckridge
433	C11	South Africa	Bushbuckridge
434	C12	South Africa	Bushbuckridge
435	C13	South Africa	Bushbuckridge
436	C14	South Africa	Bushbuckridge
437	C15	South Africa	Bushbuckridge
438	C16	South Africa	Bushbuckridge
439	C17	South Africa	Bushbuckridge
440	C18	South Africa	Bushbuckridge
441	C19	South Africa	Bushbuckridge
442	C20	South Africa	Bushbuckridge
443	C21	South Africa	Bushbuckridge
444	C22	South Africa	Bushbuckridge
445	C23	South Africa	Bushbuckridge
446	C24	South Africa	Bushbuckridge
447	C25	South Africa	Bushbuckridge
448	C26	South Africa	Bushbuckridge
449	C27	South Africa	Bushbuckridge
450	C28	South Africa	Bushbuckridge
451	C29	South Africa	Bushbuckridge
452	C30	South Africa	Bushbuckridge
453	C31	South Africa	Bushbuckridge
454	C32	South Africa	Bushbuckridge
455	C33	South Africa	Bushbuckridge
456	1_M	Sweden	Sweden
457	10_M	Sweden	Sweden
458	103_M	Sweden	Sweden
459	105_M	Sweden	Sweden
460	12_M	Sweden	Sweden
461	128_M	Sweden	Sweden
462	130_M	Sweden	Sweden
463	133_M	Sweden	Sweden
464	137_M	Sweden	Sweden
465	150_M	Sweden	Sweden
466	157_M	Sweden	Sweden
467	172_M	Sweden	Sweden
468	179_M	Sweden	Sweden
469	18_M	Sweden	Sweden
470	180_M	Sweden	Sweden
471	181_M	Sweden	Sweden
472	184_M	Sweden	Sweden
473	195_M	Sweden	Sweden
474	201_M	Sweden	Sweden
475	203_M	Sweden	Sweden
476	224_M	Sweden	Sweden
477	229_M	Sweden	Sweden
478	238_M	Sweden	Sweden
479	240_M	Sweden	Sweden
480	241_M	Sweden	Sweden
481	244_M	Sweden	Sweden
482	256_M	Sweden	Sweden
483	258_M	Sweden	Sweden
484	26_M	Sweden	Sweden
485	263_M	Sweden	Sweden
486	265_M	Sweden	Sweden
487	268_M	Sweden	Sweden
488	272_M	Sweden	Sweden
489	274_M	Sweden	Sweden
490	275_M	Sweden	Sweden
491	276_M	Sweden	Sweden
492	281_M	Sweden	Sweden
493	282_M	Sweden	Sweden
494	326_M	Sweden	Sweden
495	332_M	Sweden	Sweden
496	335_M	Sweden	Sweden
497	338_M	Sweden	Sweden
498	341_M	Sweden	Sweden
499	343_M	Sweden	Sweden
500	345_M	Sweden	Sweden
501	350_M	Sweden	Sweden
502	367_M	Sweden	Sweden
503	377_M	Sweden	Sweden
504	38_M	Sweden	Sweden
505	383_M	Sweden	Sweden
506	385_M	Sweden	Sweden
507	387_M	Sweden	Sweden
508	39_M	Sweden	Sweden
509	397_M	Sweden	Sweden
510	42_M	Sweden	Sweden
511	45_M	Sweden	Sweden
512	503_M	Sweden	Sweden
513	504_M	Sweden	Sweden
514	507_M	Sweden	Sweden
515	51_M	Sweden	Sweden
516	511_M	Sweden	Sweden
517	521_M	Sweden	Sweden
518	526_M	Sweden	Sweden
519	527_M	Sweden	Sweden
520	53_M	Sweden	Sweden
521	532_M	Sweden	Sweden
522	536_M	Sweden	Sweden
523	544_M	Sweden	Sweden
524	546_M	Sweden	Sweden
525	549_M	Sweden	Sweden
526	560_M	Sweden	Sweden
527	565_M	Sweden	Sweden
528	566_M	Sweden	Sweden
529	567_M	Sweden	Sweden
530	570_M	Sweden	Sweden
531	572_M	Sweden	Sweden
532	577_M	Sweden	Sweden
533	582_M	Sweden	Sweden
534	585_M	Sweden	Sweden
535	587_M	Sweden	Sweden
536	589_M	Sweden	Sweden
537	590_M	Sweden	Sweden
538	591_M	Sweden	Sweden
539	598_M	Sweden	Sweden
540	599_M	Sweden	Sweden
541	608_M	Sweden	Sweden
542	615_M	Sweden	Sweden
543	622_M	Sweden	Sweden
544	624_M	Sweden	Sweden
545	626_M	Sweden	Sweden
546	633_M	Sweden	Sweden
547	635_M	Sweden	Sweden
548	637_M	Sweden	Sweden
549	640_M	Sweden	Sweden
550	7_M	Sweden	Sweden
551	70_M	Sweden	Sweden
552	78_M	Sweden	Sweden
553	82_M	Sweden	Sweden
554	87_M	Sweden	Sweden
555	9_M	Sweden	Sweden
