A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
s__Prevotella sp900551275	290495	37589	0	423130	5204	3506	0	569289	137278	0	85883	489090	157288	101953	0	32274	229698	4395	10341	8280	1889	9600	0	28412	0	14559	162345	634	19155	876	0	0	0	289244	0	186503	68339	0	326014	259680	0	4623	234169	2032	281374	12004	3025	438609	0	108176	169963	191621	1526	36308	84064	585	137737	297477	118681	27504	17542	0	0	47682	9267	0	233404	4845	13755	464269	0	409878	91083	208276	135493	647	89642	0	0	55365	2619	128682	401346	45588	29198	836	112773	235761	1225	337963	372613	895127	3244	272461	375510	24996	360510	572425	530086	202495	302153	2676	970	252495	1134	347170	756	158146	1390	1559	2564052	1368	55408	460460	553448	68311	476588	182821	8558	9711	25489	266129	16809	37876	7580	20138	214885	96803	648	392061	377746	302777	303744	22875	403600	2247	9683	333505	253669	125523	265983	395743	236345	205347	163567	822880	275869	16497	316902	84018	96788	444993	61204	216561	1032319	1400	591750	52763	128230	1703953	1182444	294500	407341	1016	479731	751783	119027	32303	43643	71135	428413	24257	329254	154823	356261	318703	73001	35852	284803	24982	4334	299265	169355	325697	116210	3288	1003489	734704	558028	410950	16039
s__Prevotella copri	350469	37374	0	153191	10417	543	0	252327	123225	0	33855	574832	133039	100407	0	23504	308194	4198	9965	3724	873	8947	0	29725	0	5392	221232	490	3604	0	0	0	0	330483	0	242596	58699	0	531222	41439	0	806	311002	2878	295575	6187	3719	480093	0	82938	166764	244656	931	36667	64547	306	93443	93875	129622	27142	14396	0	0	55310	9840	0	321429	4789	15355	259367	0	191422	15937	116619	152291	334	63593	0	257	30233	1184	115289	402450	26118	17437	4631	104556	292796	1382	306216	410275	1105150	1258	364610	185974	21745	412241	328195	211569	222293	289470	1663	348	328245	475	101307	532	128409	425	478	547796	297	54192	240822	362372	76434	575279	201712	5105	4094	8743	281091	7042	31476	6670	12200	116468	47753	323	353375	191123	150824	175577	9381	515876	816	1489	373949	123143	146684	126252	302153	210269	137474	110577	906943	250688	9031	271623	81136	28186	357915	44773	235927	1190774	645	397806	71395	25711	2359043	676790	272088	401031	683	445550	1049929	103767	23620	38747	31922	346917	29793	424015	147584	363867	55383	47535	16254	157678	16699	4420	222655	34275	315577	154102	1883	1080096	566016	320997	572753	8778
s__Succinivibrio sp000431835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296277	0	0	0	233219	0	142490	0	0	0	109141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244017	0	0	0	51909	129379	0	0	25497	236944	0	204257	398914	70045	0	0	0	0	0	0	0	0	0	185078	0	0	0	0	90157	197534	13135	0	0	0	1615013	904	4863	85420	14832	102647	347	66353	904600	83374	1289	463	394	384	412	458150	0	537054	2186	223890	483063	329	1058874	294	0	0	315784	0	322	744	749	521	548	1205	538814	122577	301	567	292	52958	589	18423	388	272520	2723	0	980169	387250	680	342826	554	73097	568421	678135	840307	714	721	939	494	72869	249732	1076520	0	13284	0	0	301714	244595	2686200	163230	290170	1311693	460	550945	743335	734	998	115259	836	489394	185244	239059	561067	673137	582	912715	567	89183	1539609	28827	0	397	0	129181	112368	199144	268	188054	983	82268	4428	425	552	838575	68491	0	0	1294429	293547	400497	606	398
s__Phocaeicola vulgatus	10568	47734	130214	3237	156114	252797	322166	14531	576	0	28317	31727	20545	13301	205672	42682	40282	179996	45846	86182	60001	37626	200146	82236	41501	0	11767	27808	1941	115610	61630	129474	332544	7284	18523	7840	3157	59121	89714	233611	225624	206944	109213	216131	67635	104966	138299	609547	138997	0	1567	64503	181761	6433	14368	492917	1039	1673	3683	11053	89622	623834	42026	86757	5609	33497	102176	9131	36402	22361	155711	979	15364	4688	27941	111820	864	85785	138915	134860	1221499	2800	74099	12509	12947	490464	3307	209918	168210	15048	99356	16141	59724	198975	3749	30910	27483	11178	2717	22075	1909	108250	22603	244240	229805	68921	431759	197355	1234270	616445	6915	194653	6830	912	16355	28091	77336	1195	5159	44708	11880	79001	176251	204005	123668	887672	124672	14000	79154	3042	15837	11690	11745	425516	437909	1154347	592406	24909	47398	12273	7468	406	521	18914	3157	5902	2537	53839	14870	10325	10033	5051	143886	4281	48264	41595	19716	1676872	274370	47808	169517	5733	32082	1770255	7026	112245	34411	126522	4721	201131	7694	78539	70154	7520	18644	168521	2609	3362	36429	21101	168539	73846	223327	22045	36016	1433	11583	971	5548	292761	351671
s__Prevotella sp900557255	234074	43643	0	128655	3958	1292	0	230260	105584	0	38938	402327	119841	113644	0	48659	181469	7487	13966	5942	2863	9554	0	20315	0	6280	130651	1009	3980	450	0	0	0	342611	0	208846	54727	0	258771	34932	891	1691	217560	1438	342739	5824	6964	390643	1425	65680	119838	191240	1731	29406	52653	1119	69606	90046	96367	20428	12442	862	0	63902	7750	0	205919	4089	12088	199526	0	149135	13455	93383	123232	787	58346	0	0	71784	4345	83820	266856	27818	14131	1125	73823	194246	3505	253482	477383	755344	2074	219262	174670	24138	271845	285668	173334	155869	200455	5136	820	228088	1007	104317	726	95624	999	1639	338723	2020	40254	188608	218786	116472	340707	159992	8960	7974	14737	214244	5861	24852	6953	15754	102863	61159	773	271940	130559	112095	136314	35368	613228	3985	8533	289458	91600	144154	110792	202952	154011	125864	148173	628334	186230	8277	211463	58542	26968	284646	39593	312105	847129	1632	228799	50009	27715	1417592	458889	224148	293242	1391	334968	646542	113011	35739	43443	23499	225233	24083	272441	110158	296727	38402	63436	15399	154643	16738	8874	208565	46344	210688	116575	3796	712882	446326	306872	371145	9144
s__Prevotella sp000434515	47415	116631	0	211920	26357	2104	0	403974	225168	0	102510	70858	576884	305374	0	42166	38809	86138	6916	23902	1140	9038	0	13406	0	6006	15745	45031	3610	1110	0	0	0	64573	0	556108	57612	0	34145	20960	0	1158	59035	29667	37625	6235	23435	102947	1335	80266	212062	325503	558	23750	368332	0	207539	293654	203182	9925	5801	594	0	118305	2104	368	46433	2245	3454	62081	400	152623	7225	27774	13353	614	139831	0	0	159311	3150	181477	102968	69678	16330	801	41352	42364	2912	165830	484948	140082	2176	83490	157810	282417	127266	297702	169993	85227	544215	11202	639	39787	1043	255302	799	35400	834	2169	122355	0	41618	115407	76975	106151	44513	706605	14208	7614	108525	123249	4876	36285	16681	14764	348063	45710	509	426308	49668	56697	90338	870868	47574	2526	21139	76450	55759	63488	354516	79453	115688	117309	1194295	538564	126634	10704	387173	16968	25705	190290	64400	182041	178688	1380	79684	8688	32919	213234	440207	126300	154817	0	253127	305228	293667	18820	88211	42110	59667	6336	53756	48411	134903	15438	94813	38061	121418	190295	5125	88291	47870	100566	554675	4666	555676	1011032	611311	53965	8349
s__Prevotella copri_A	78555	83488	0	120526	2546	3953	359	303409	230805	0	42904	60966	334498	137547	0	517430	40908	21689	27407	7500	13569	63945	0	5228	0	10254	18286	733	2422	1712	0	0	481	184668	0	206911	49957	0	28857	16030	0	950	90182	997	41021	6003	5592	79535	595	79547	91748	99245	287	54865	42481	0	34738	171457	51093	5753	7072	0	0	9422	1298	964	23905	1261	2470	73755	402	248486	5906	78437	16519	400	164839	0	0	633862	1702	114096	282039	74909	9546	497	36317	44241	1894	295541	62643	561170	2646	49025	341956	72362	178678	432774	253044	237095	214914	5747	418	36997	522	474984	512	49916	341	1421	660591	439	44933	106124	92917	97276	45519	124341	6997	3381	10106	209004	9864	16976	10972	21838	244020	243079	441	648037	86079	81620	148431	18524	61220	1066	11281	304361	219085	43084	86374	150855	186122	145406	358156	569756	204022	10360	214808	44062	113921	177143	86627	107800	243946	498	101039	13378	108215	232542	783201	396614	164732	697	170907	111660	396019	121244	152513	44345	188257	9445	54326	70230	656027	20271	143543	20007	337751	28123	9464	700856	21475	144474	201609	3195	679707	901328	302644	118000	15556
s__Prevotella sp900546535	80769	37958	0	109267	1676	747	0	56516	87126	0	8057	50791	123574	22329	0	27756	28294	3014	3602	3209	1369	4893	0	3102	0	15770	18948	394	1501	0	0	0	0	40570	0	42103	10860	0	34261	11734	0	0	37522	1194	25341	950	3394	55801	0	19951	34042	30941	0	6184	99875	0	61064	35267	101428	7441	18456	0	0	6664	1025	0	28130	1687	1567	36929	0	89933	3893	25462	15430	0	17872	0	0	46195	536	97093	110655	97564	38547	342	149134	28657	548	421972	38950	124137	15341	45649	400322	7325	133934	112402	54922	69494	164529	779	277	25746	0	242172	274	190426	320	571	148753	0	65177	277205	262904	18677	55691	166187	18264	7868	9349	461007	17845	32955	1644	13660	52247	238561	0	95837	31040	34027	52967	8971	61609	378	1590	127694	33394	62323	219202	143906	56750	251170	195714	286235	49143	10437	95030	53319	14304	306145	31179	64798	496262	337	280693	6990	10978	198323	493113	806263	301396	371	214308	86072	363789	12416	116692	5454	263968	2882	46834	122501	106564	13103	358803	10006	302107	43245	2007	1211074	17751	149775	37623	3245	462361	374589	1576837	50355	44290
s__Prevotella sp900313215	113630	165831	0	185429	19251	6163	0	56965	63209	0	30179	5145	136036	333331	0	2815	30674	66574	42418	384716	0	71887	0	790	0	412	1722	287	24521	0	1260	0	0	218807	0	163845	257017	0	3112	215075	0	0	442630	646	2969	3509	351861	665834	0	11622	156653	71514	0	9262	5807	0	60222	120588	5593	2889	589	0	0	14132	0	736	3125	755	27579	136089	0	206640	324	32807	1850	0	75924	0	0	95102	0	239868	83784	11485	14285	0	23368	10059	592	45813	6088	11690	12089	1214712	58874	114838	156308	208397	29028	4269	86483	344	0	27951	364	27526	343	5241	0	0	10525	0	75497	38478	115739	1275402	6938	324623	1229	818	81942	376107	761	2563	1422	1809	132900	5902	0	407263	45891	86794	193783	6315	3795	526	1274	120844	169124	34965	14620	166594	30894	368482	204264	83302	68517	1929	84842	5218	50721	102752	4435	590351	14177	1563	138753	564	17195	50369	103525	158648	9553	0	313810	97124	237752	1151	382006	831	9561	662	18169	14435	728443	925	165496	10585	90826	3166	504	13456	121652	158552	5449	614	130834	224314	467741	3939	1921
s__RC9 sp000433355	0	151407	0	0	0	0	0	0	35827	0	477071	0	0	0	0	0	0	0	0	19850	375	0	0	58129	0	133720	0	0	46661	0	0	0	0	0	0	169226	116410	0	0	0	0	0	0	0	0	94000	0	0	589	149696	74849	1801	94303	201567	0	0	116702	399	71083	0	0	0	0	0	0	0	6333	0	0	0	0	1271	546683	76948	16391	58465	4369	0	0	460	327	148589	6847	431263	53643	0	151958	30019	3086	808	277	0	276	420	359	0	629	3829	928	309	13876	0	0	0	0	0	0	0	0	648	0	0	368	71189	48513	0	521526	323	43369	568369	102465	264	31354	935547	598391	0	2217	0	0	0	1056	1007	1348	544	2310	298	0	0	425	2583	0	82356	2146	12252	9970	1579	79744	0	204579	283123	0	222134	339598	582	393	1033858	56079	0	294330	47690	281721	39274	714154	257	127987	497	0	0	0	536	0	36070	149962	45139	0	288	254063	468919	16455	267093	755285	0	97955	22222	0	1009312	1774	0	49944	0	648
