Sample	Bin	Final.Class	Classification	Size.Mb	GC	N50	Quality	rna.16S	LongReadPolished
C27	bin.11	Clostridium sp.	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-1000;s__	1.53	25.24	1.53	Medium	1	Short Read Only
C27	bin.114	Treponema succinifaciens	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D succinifaciens	2.55	39.12	2.55	High	4	Short Read Only
C27	bin.130	Lachnospiraceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__	3.38	43.55	1.94	Medium	4	Short Read Only
C27	bin.160	Treponema sp.	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp900541945	2.06	41.55	2.06	Medium	3	Short Read Only
C27	bin.2	Clostridium sp.	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	1.3	46.87	1.3	Medium	1	Short Read Only
C27	bin.30	Bacteroidales bacterium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp900556095	2.67	47.31	1.8	High	3	Short Read Only
C29	bin.1	Clostridium sp.	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	2.01	28.81	2.01	Medium	3	Short Read Only
C29	bin.127	Ruminococcaceae bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	1.95	38.35	0.8	Medium	4	Short Read Only
C29	bin.14	uncultured Ruminococcus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp004556705	1.59	44	1.34	Medium	2	Short Read Only
C29	bin.156	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595	2.03	57.9	0.6	Medium	4	Short Read Only
C29	bin.3	Clostridiales bacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	1.53	47.28	1.53	Medium	1	Short Read Only
